id;justDidIt;title;proposer;date;status;origin;categories;before;after;responsible;potentialSaving;financePartner;riskAssessment;vpcDone;validatedByFinance;bestPractice
112388;FALSE;Better labeling for component bins;John;12-08-2025;Draft;Assembly Line 2, Bjerringbro;Quality;"""Sometimes operators grab the wrong part because the current bin labels are small and unclear.""";"""Use new, larger, color-coded labels with a picture of the part to reduce errors.""";Lars Jensen;;;FALSE;FALSE;FALSE;FALSE
112393;FALSE;Automated low-level inventory alert for screws;Freja Jensen;12-08-2025;Draft;Warehouse, Bjerringbro;Inventory,Process change;"""We sometimes run out of M4 screws, causing line stoppages. Manual checking is unreliable.""";"""Install a weight sensor under the M4 screw bin that sends an automated reorder email when the weight drops below 2kg.""";Freja Jensen;;;FALSE;FALSE;FALSE;FALSE
112394;FALSE;Visual guide for pump assembly sequence;Aksel Pedersen;11-08-2025;Draft;Assembly Line 1, Bjerringbro;Quality,People;"""New hires often make mistakes on the final pump assembly, requiring rework. The printed manual is confusing.""";"""Create a simple, one-page visual guide with photos for each of the 8 assembly steps and mount it at the workstation.""";Aksel Pedersen;;;FALSE;FALSE;FALSE;FALSE
112395;FALSE;Protective film for finished product screens;Sofia Larsen;10-08-2025;Draft;Packaging Dept, Bjerringbro;Quality;"""Minor scratches are sometimes found on product screens during final inspection, causing units to be rejected.""";"""Apply a temporary, peel-off protective film to screens after testing to protect them during packaging and transport.""";Sofia Larsen;20000 DKK;;FALSE;FALSE;FALSE;FALSE
112389;FALSE;Install anti-fatigue mats at Assembly Station 5;Maria Garcia;11-08-2025;Received;Assembly Line 3, Bjerringbro;Health & Safety,People;"""Operators at Station 5 stand on the hard concrete floor all day, leading to back and foot pain.""";"""Placing anti-fatigue mats will improve operator comfort and reduce fatigue-related errors.""";Peter Nielsen;;;FALSE;FALSE;FALSE;FALSE
112396;FALSE;Standardize tool layout at all CNC stations;Mikael Persson;10-08-2025;Received;Machining Dept, Bjerringbro;Process change,People;"""Each CNC station has a different tool layout, making it slow for operators to switch between machines.""";"""Create a standard shadow board layout for all common tools and implement it at all 6 CNC stations.""";Peter Nielsen;;;FALSE;FALSE;FALSE;FALSE
112397;FALSE;Add a mirror to a blind corner on the forklift route;Carlos Ruiz;09-08-2025;Received;Warehouse, Bjerringbro;Health & Safety;"""There is a dangerous blind corner near the loading bay where forklifts and pedestrians could collide.""";"""Install a large convex safety mirror to give both forklift drivers and pedestrians a clear view of oncoming traffic.""";Peter Nielsen;;;FALSE;FALSE;FALSE;FALSE
112398;FALSE;Digital checklist for daily machine startup;Ingrid Johansson;08-08-2025;Received;All Production, Bjerringbro;Process change,Quality;"""Paper-based startup checklists are sometimes lost or incomplete, leading to missed safety checks.""";"""Replace the paper checklists with a simple app on a tablet at each station. The machine cannot be started until the checklist is complete.""";Lars Jensen;;;FALSE;FALSE;FALSE;FALSE
112390;FALSE;Modify jig on CNC Machine 2 to reduce scrap;Klaus Schmidt;28-07-2025;Accepted;Machining Dept, Bjerringbro;Process change,Cost,Quality;"""The current jig allows for slight misalignment, causing about 2% of parts to be scrapped.""";"""Adding a new guide pin to the jig will ensure perfect alignment every time, aiming to reduce scrap to less than 0.5%.""";Klaus Schmidt;8500 DKK;Jessica Pearson;FALSE;FALSE;FALSE;FALSE
112399;FALSE;Upgrade lighting in the quality inspection area;Fatima Al-Jamil;25-07-2025;Accepted;Quality Dept, Bjerringbro;Quality,Health & Safety;"""The current lighting in the QA area is dim, causing eye strain and making it hard to spot minor surface defects.""";"""Install high-intensity, daylight-spectrum LED panel lights above the inspection benches.""";Lars Jensen;15000 DKK;;FALSE;FALSE;FALSE;FALSE
